Product_Name,User_Name,Review_Content
오호라 P 체리 크러쉬 페디,lo** ,여름맞이 세일 하길래 엄마랑 하려고 여러개 구매했어요! 작년에 해보니 파스텔톤 보다는 쨍한 컬러가 붙였을때 훨씬 예뿌더라규요! 여름나기 잘 해보겠습니당~
오호라 P 체리 크러쉬 페디,ok** ,여름에 샌들 신으려고 샀는데 빨간색이라 쨍하고 예뻐서 마음에 들어요! 특히 체크랑 앵두로 포인트 줄 수 있어서 더 좋아요!
오호라 P 체리 크러쉬 페디,na** ,빨간거중에 젤 이쁜거같아서 주문햇습니다 귀엽고 섹시하고 다하네여ㅎㅎ 이쁩니당 택배오자마자 발톱에 붙혓숨니다ㅋㅋㅋ ㅎ
오호라 P 체리 크러쉬 페디,ol** ,항상애용하는 상품이예요 사용하기도 편하고 지속력도오래가고 색상도 쨍하니 이뻐요 다음에도 구매의사있어요 여름에 진짜 좋아요 
오호라 P 체리 크러쉬 페디,ji** ,오호라가 제일 예쁘고 그나마 오래 지속되는거같아서 자주 구매하고있어요~~ 색감도 너무 예쁘고 편한게 진짜 장점!!
오호라 P 체리 크러쉬 페디,ch** ,아직 안써봤지만 오호라는 믿고쓰니까여 믿고 샀어요 발거락 못생겼는데 오호라는 딱 잘 맞아서 이번 여름에 또 샀습니다!!
오호라 P 체리 크러쉬 페디,le** ,오호라는 항상 옳지용ㅋㅋㅋ귀엽고 이뻐요 추천!!
[BNX] 언발 루즈핏 베스트_BA1VT700S0,gu** ,"박스 핏인듯해서 넉넉합니다
가을 분위기 색상 좋을듯 합니다
분위기 내며 잘 코디해서 가을에
잘 입을께요"
[BNX] 언발 루즈핏 베스트_BA1VT700S0,31** ,디자인은 정말 굿굿굿 입니다  근데 보풀이 마니 나는 천이네요
[BNX] 언발 루즈핏 베스트_BA1VT700S0,ke** ,마음에 드네요 요즘날씨에 괜찮아요 잘입을께요
프치 플라워 브이넥 맥시 롱원피스,rj** ,"예뻐요...예픈데...
생각보다 여리여리하고 예쁜데요... 좀 한복같아요
목에 카라쪽때문인지 검정색이라그런지 ㅋㅋㅋ한복 삘... 그거말고는 주머니도있고 길이도길고 예쁜데...근데 ....ㅎ"
✨오늘출발✨ 린넨 루즈핏 롱 셔츠 원피스 빅사이즈 남방 봄 여름 간절기 코디,yo** ,예전에 입던 남방이 너무 자주입어서 색이 바래가지구 하나사려고했었눈데 옷구경하다가 비슷한 상품으로 바로 겟했어요 ㅋㅋ상품색상은 화면과 같고요 날씬해보여서 더더욱 만족합니당^^ 흰색도 고려중이예요 ㅋㅋ 많이파세용
론 비건 레더 벨트,tw** ,딱 원하던 컬러라 만족해요 청바지나 흰바지 다 잘 어울리네요^_^ 배송도 빨랐어요 두컬러 다샀는데 잘 찰게요~~~~
포테 컬러 레오파드 니트 가디건,tp** ,가격 대비 높은 퀄리티예요. 배송도 빠르고 물건 상태도 최상입니다.
포테 컬러 레오파드 니트 가디건,nl** ,아직 좀 쌀쌀해서 요즘 잘 입고 있어요
포테 컬러 레오파드 니트 가디건,ye** ,블루 니트바지랑 찰떡입니다  다들이뿌다고했어요
포테 컬러 레오파드 니트 가디건,at** ,사진그대로 에요 생각보다 더예뻐서 깜놀 ~ 잘입을게요
(3color)플렌 유니폼 오버핏 긴팔티,97** ,귀엽고 좋아요 휘뚤마뚤템 잘입어지네용 굿굿ㅋ
마리아꾸르끼 키엘로 앞접시 소 (2color),vi** ,사이즈가 앞접시용으로는 조금 작은거 빼곤 다 만족합니다~ 작은 앞접시로 그냥 쓰려구요
헬스 집업 필라테스 요가 러닝 집업 핑거홀 집업,na** ,"해외여행 호핑투어때 입으려고 샀는데
화이트 컬러라 밝아보이고 좋아요 !!
바스트 있는 편인데 신축성 좋아서 잘 맞았어요
운동할때도 입을려구요 🤍 넘 맘에 들어요 굿 !! 🫶🏻"
헬스 집업 필라테스 요가 러닝 집업 핑거홀 집업,gk** ,"생각보다 타이트하긴한데 예쁜 화이트라 그냥
입으려구요!! 재질도 좋고 편하고 좋아요!
필라테스할때 잘 입을 수 있을거 같아요!"
[MADE] 톰즈 뒷밴딩 연청 와이드 롱 데님팬츠[25~36],rk** ,"연청바지가 필요해서 구매했는데 기대 이상으로 편하고 아주 만족합니다:) 아쉬운점은 셔츠나 기장감이 있는 티셔츠는 원하는 핏이 안나올수도 있고, 개인마다 레이어드해서 입는 차이가 있을것 같아요. 사이즈가 애매해서 찾아입기에 호불호가 없어요ㅎㅎ "
[MADE] 톰즈 뒷밴딩 연청 와이드 롱 데님팬츠[25~36],sa** ,"제가 허벅지에 살이 많아서 가끔 와이드여도 좀 불편했는데 이 바지는 편하고 좋아요!! 허리도 밴딩이라서 편하고 길이는 조금 길지만 줄여입어도 될 정도에요~ 이 바지 추천!
완전 연청바지에요!"
[MADE] 톰즈 뒷밴딩 연청 와이드 롱 데님팬츠[25~36],dh** ,와이드핏 처음인데 성공해서 너무 좋아요 길이는 길어서 접어서 입거나 수선 맡기려고요 허리 뒷밴딩 있어서 너무 편해요 막 늘어지지도 않고요 
[MADE] 톰즈 뒷밴딩 연청 와이드 롱 데님팬츠[25~36],20** ,"화면보다 살짝 밝고 한사이즈 작게 하시면
좋을것 같아요.! 저는 바빠서 그냥 입지만 
사이즈가 크게 나왔어요 빠른배송감사해요"
[MADE] 톰즈 뒷밴딩 연청 와이드 롱 데님팬츠[25~36],rl** ,"동생이 입으려고 시켜달라고 해서 시켜줬는데 떡대도 있고 키가 저보다 큰 편이라 사이즈를 한참을 고민했어요
다행히 핏도 예쁘고 잘 맞아서 잘 입고 다니는 중입니다!
근데 생각보다 색깔이 밝아서 좀 놀랬어요.. 연청보다는 아이스청 느낌이 납니다!"
오호라 P 썬 데이지 페디,am** ,"늘 공홈에서 사다가 직잭에 입점된거 알고 샌들 신자마자  냉큼 샀어요
디자인 너무 귀여워요!!!! 여름에 찰떡
전 발톱이 작아서 스티커 하나를 2번 나눠서 쓰지만 그렇게 안해도 될만큼 양이 넉넉합니다"
오호라 P 썬 데이지 페디,01** ,"화면 그대로에요~~
말모말모~귀여워요
엄지 데이지 꽃이 심플하면서 포인트가 되는 것 같아요:)
워터파크 가기 전 급하게 주문했는데 배송도 빨랐어요!
"
오호라 P 썬 데이지 페디,sk** ,배송도 빨리 오고 너무너무 귀여워요ㅠㅠ 엄지는 잘 맞는데 나머지 발가락 사이즈는 너무 커서 잘라서 사용했어요 하지만 너무 귀여워서 재구매 의사 있습니다
오호라 P 썬 데이지 페디,lo** ,여름맞이 세일 하길래 엄마랑 하려고 여러개 구매했어요! 작년에 해보니 파스텔톤 보다는 쨍한 컬러가 붙였을때 훨씬 예뿌더라규요! 여름나기 잘 해보겠습니당~
오호라 P 썬 데이지 페디,ju** ,"여름마다 샌들신을때 허전한 발을위해 페디를 하고있어요~\
오호라는 사용하기도 쉽고 예쁜데 오래가서 매해 여름 사용하고 있어요~
화사한 노란색에 꽃 포인트까지 너무 예뻐 마음에 듭니다~ 
배송도 빨라 좋았습니다~~~"
마띠엘 긴팔 코튼 라운드 티셔츠 레터링 데일리 심플 기본티 간절기 사계절템,wj** ,간편하게입을려고 주문했는데 팔부분이 조금 짧더라구요...그래서 사실 손이 잘안가요ㅠ그래도 검은색은 청바지에 매치해입으니깐 이뻐요
마리아꾸르끼 키엘로 원형접시 중 (2color),vi** ,코발트블루랑 두컬러 다 소장했습니다. 사이즈도 디자인도 무난하고 실용적이라 자주 씁니다~
로메인 가오리 코튼 벨트 롱원피스,o_** ,"허리 스트랩은 진짜 마른체형이신분들만 가능 할거같고요 ,, 길이도 애매하게 무릎밑까지.. 제 키는 163인데 모델분은 165 인데 어떻게 저렇게 길게 나왔는지 모르겠네요ㅠㅠ
급해서 일단 입습니다"
[MADE] 스컬 하이웨스트 와이드 데님팬츠[25~36],wl** ,이 바지 정말 맘에 들어용!!! 롤업해서 입으면 예쁘고 핏도 너무 맘에 들어요ㅎㅎㅎ 사이즈도 넉넉해서 편하게 입을 수 있어요
[MADE] 스컬 하이웨스트 와이드 데님팬츠[25~36],fk** ,"허리사이즈 딱 29-30인데 좀 작았어요
안들어가진 않는데 입을 때 좀 힘듦
바지 통이 크다는 후기가 있어서 너무 와이드할까봐 걱정했는데 적당한 정도인 것 같아요.
사이즈 표에 나온 힙 둘레보다 작은분들은 통이 좀 크다 느낄 순 있을듯…
핫핑에서 바지…더보기"
[MADE] 스컬 하이웨스트 와이드 데님팬츠[25~36],le** ,세일해서 싸게 잘샀어요 너무 이쁘고여 금요일 새벽에 주문했능데 배송이 무슨 쿠팡이에요 겁나 빨라요 최고입니다ㅏ~!!
[MADE] 스컬 하이웨스트 와이드 데님팬츠[25~36],ph** ,"생각보다 다리 통이 엄청커요.
이쁘게 큰게 아니라 커서 세탁소가서 통 줄였어요ㅜ
또 화면보다 색상이 어두워요. 그래서 첨에 보고 다른 옷인줄 알앗어요ㅜ 실수로 택을 떼서 어쩔수 없이 그냥 줄여서 입어요 ㅠㅠ"
[MADE] 스컬 하이웨스트 와이드 데님팬츠[25~36],ad** ,길이가 긴건 수선해서 입으면되고 핏도 괜찮고 무엇보다 편해서 좋아요!
[MADE] 여름까지 후들데님 와이드 청바지[25~36],tb** ,일단 사진이 좀 이상하게 나왔는데 저것보다 훨씬 진청느낌이에요!! 누가봐도 진청 느낌인데 워싱 이쁘게 들어갔슴다!! 그리고 이거 사이즈가 딱 맞다거나 조금 작은데 하시는분들은 그냥 작은 사이즈 입으셔도 됩니다. 왜냐면 제가 그런상황이라 큰걸로 샀더니 …더보기
[MADE] 여름까지 후들데님 와이드 청바지[25~36],eu** ,아니!! 이런 좋은바지가 있다니!!!! 다른쇼핑몰에서 여름가능한 청바지를 샀는데 그거보다 훨훨 원단이 좋아요 정말 후들후들 하고 얇고 가벼워요! 핏도 길이감도 저에게 딱입니다! 낙낙하게 좋아요 이런 소재로 다른색상도 생김 좋겠어요ㅜㅜ!!
[MADE] 여름까지 후들데님 와이드 청바지[25~36],ki** ,컬러 추천! 허리에 밴딩 없습니다! 리뷰에 있다고 되어있는데 없어요! 정사이즈고 뱃살 많으신 분들은 아묻따 xl사십시오 앉으면 배 쫄리는 그런 느낌!
[MADE] 여름까지 후들데님 와이드 청바지[25~36],kq** ,"바지 넘 후들후들 좋아요!
밴딩 있어서 착용감도 좋고 많이 두껍지 않아서 덥지않아용 ㅎㄹ 아주 만족했습니다 :-) 금데 색이 화면보다 좀 밝은 것 같아유 .."
슬림핏 스퀘어 니트탑,jj** ,엄청 오래걸려서 받았는데 기대보다 너무 별로네요ㅠ 엄청 잘늘어나는 재질이고 넥라인 모양이 양쪽이 좀 달라요 아직 못입고나갔는데 음 글쎄요
🚀로켓배송🚀 스트레이트 카고팬츠,th** ,"저는 키 160/55kg 리뷰보고 다들 다 작다고 말하니까 원래 M size 입었는데 L 주문했어요. 너무 크고 길어요 ㅋㅋㅋ
대만 색깔 너무 이뻐요. 딸기 우유 색같아요. 얇으지 않고 두껍지않아요. 여름에 입으면 딱 좋아요 🥰"
🚀로켓배송🚀 스트레이트 카고팬츠,kh** ,실제바지 색상이랑 가깝습니다 톤다운된 핑크라 넘 마음에 들어요 약간 와이존 부각이 있지만..? 원래 통 있는 바지 안 어울리는데 괜찮네요😍
🚀로켓배송🚀 스트레이트 카고팬츠,ak** ,"원래 s 사려고 했지만 품절이길래 m으로 그냥 구매했어요 ㅠㅠ
157 기준 기장은 조금 길어서 수선은 해야될 것 같고, 허리는 아주 조금 크긴 했지만 밥 먹고 난 후에는 딱 좋았던거 같아요 ! ㅎㅎ
허리가 조금 타이트하게 나왔다고 하던데 m으로 사길 …더보기"
🚀로켓배송🚀 스트레이트 카고팬츠,mo** ,진짜 예뻐요!! 167기준 길이는 발목밑까지 와서 딱 맞는정도에요! 핏도 이쁘고 색도 넘넘 이쁩니당 다리쪽에 달려있는 단추도 유니크해서 좋고 다리가 길어보여요!
🚀로켓배송🚀 스트레이트 카고팬츠,du** ,재유님 영상으로 보고 너무 예뻐서 들어왔는데 브라운이 끌리길래 브라운으로 샀네요 사진은 빛을 좀 받아서 저런데 사진보다 조금 더 붉은기돌고 살짝 더 진합니다 한 치수 크게 산건 잘 했는데 와이존 부각이 좀 있습니다 길이는 조금 더 길었으면 싶지만 나쁘…더보기
[MADE] 올브러쉬 워싱 와이드 데님팬츠[25~36],rl** ,"사이즈가 평소까보다 작게나와써요..! 그치만 색감이나 다 너무 완벽라게 예쁨,, 살빼서 입어야지 큐큐ㅠ.. 음음"
[MADE] 올브러쉬 워싱 와이드 데님팬츠[25~36],ke** ,요게… 지퍼 부분이 생각보다 좀… 뭐랄까 아랫배가 튀어나온 게 아닌데 튀어나와보이게 하는 느낌…? ㅠㅠ 그래서 좀 민망하긴 한데 바지 자체는 진짜 예뿜미당
[MADE] 올브러쉬 워싱 와이드 데님팬츠[25~36],yj** ,쫙쫙 늘어나지는 않지만 이뻐서 잘 입고 있습니다~
포스트 싱글 쓰리버튼 자켓 2col,wl** ,생각했던 색감이랑 다르지만 핏은 이쁘네요!ㅇ
마티너 플레어 A라인 롱 스커트,bl** ,핏 진짜 예술입니당 너무 좋네요 다른 색상도 구매할 예정인데 그때는 xl로 살것 같아요 L 사이즈가 저한테 안 맞는건 아닌데 허리가 설짝 타이트하네요 그래도 옷이 너무예뻐서 만족해요!
시에르 오버핏 프린팅 롱맨투맨[44~120],tl** ,입기 너무편하고 질도 좋아서 자주입고다니기 좋아용
바이즈 화이트 면기 중,wl** ,크기도 크고 튼튼해서 좋아요 조금 무겁긴 하지만 조심해서 쓰면 될 것 같아요
트위스트 폭신 발편한 슬립온 (2.5cm),ll** ,회사용으로 샀어요 한치수 양말 신을거 감안하고 한치수 크게 샀더니 편하게 맞아요
